,,,,
,,,,
margin_1,margin_2,center,Site,Blade_position
25.1,25.3,32.3,TR,L
23.9,25.1,32.2,TR,L
25,26.4,31.7,TR,L
21.8,22,25.4,TR,L
28.1,26.8,29.9,TR,L
17.2,24,25.5,TR,L
22,21.6,23,TR,L
21.5,23.9,22.9,TR,L
26,26,29,TR,M
14.4,16.2,21,TR,M
24.8,24,31.4,TR,M
25.5,32,36.9,TR,M
25,19,26,TR,M
29.5,30,32.1,TR,M
22,29.5,31,TR,M
24.9,23.1,28.8,TR,M
23,27.8,28.8,TR,M
18.7,21.5,22.8,TR,M
23.5,24.7,26.8,TR,M
19.8,16.7,22.1,PC,L
30.9,20.5,29.8,PC,L
20.5,21,29.2,PC,L
23.5,28.8,30.8,PC,L
23,19.9,22,PC,L
21.6,19.6,26.9,PC,L
19.6,19.7,24.7,PC,L
19.3,20.1,22.7,PC,L
20.5,23,24.9,PC,M
22,18.1,21.9,PC,M
21.9,24.9,31,PC,M
32.1,26.2,28.5,PC,M
24,22.4,27,PC,M
22,22.5,36.1,PC,M
30.5,26,37.5,PC,M_short
28,29,32.4,PC,M_short
