,,,,
,,,,
blade.position,width ,Total Length ,Ruffle Length ,Site.Indiv
,,,,
,,,,
M,6.1,279,27,TR.1
M,3.6,125,NA,TR.1
M,3.4,206,25,TR.2
M,3.9,231,26,TR.2
M,5.3,523,25,TR.3
M,4.9,371,25,TR.3
M,4.5,374,27,TR.4
M,5.2,328,25,TR.4
M,5,376,26,TR.5
M,6.2,372,26,TR.5
M,10.2,110,28.3,PC.1
M,8.2,228,25,PC.1
M,8.3,208,29.5,PC.2
M,9.3,157,27.5,PC.2
M,,45,NA,PC.3_short
L,7.6,256,25,TR.1
L,5.1,149,28,TR.1
L,5.8,312.2,27.5,TR.2
L,4.1,289,27,TR.2
L,4.2,591,25,TR.3
L,5.1,469,25,TR.3
L,5.6,200,25,TR.4
L,4.5,296,25,TR.4
L,9.5,284,27,TR.5
L,6.8,106,25,TR.5
L,,,,
L,7.4,319.6,26.5,PC.1
L,4.6,95,25.1,PC.1
L,,,,
L,8.7,125,26.8,PC.2
L,10.4,84,26,PC.2
L,,,,
L,11.3,93,32.9,PC.3
L,8.8,46,,PC.3_short
