SpeciesCode,Scientific,Common
1,Eptatretus deani,Black hagfish
2,Eptatretus stoutii,Pacific hagfish
3,Myxine circifrons,Whiteface hagfish
21,Lampetra tridentata,Pacific lamprey
22,Lampetra ayresii,Western river lamprey
102,Hexanchus griseus,Sixgill shark
103,Notorynchus maculatus,Sevengill shark
105,Chlamydoselachus anguineus,Frilled shark
106,Heterodontus francisci,Horn shark
111,Alopias vulpinus,Common thresher
112,Carcharodon carcharias,White shark
113,Cetorhinus maximus,Basking shark
114,Isurus oxyrinchus,Bonito shark
115,Lamna ditropis,Salmon shark
116,Alopias superciliosus,Bigeye thresher
118,Rhincodon typus,Whale shark
121,Apristurus brunneus,Brown cat shark
122,Cephaloscyllium ventriosum,Swell shark
123,Parmaturus xaniurus,Filetail cat shark
126,Carcharhinus longimanus,Pelagic whitetipped shark
127,Carcharhinus remotus,Narrowtooth shark
128,Apristurus kampae,Longnose cat shark
131,Carcharhinus leucas,Bull shark
132,Carcharhinus obscurus,Dusky shark
133,Galeocerdo cuvier,Tiger shark
134,Galeorhinus zyopterus,Soupfin shark
135,Mustelus californicus,Gray smoothhound
136,Mustelus lunulatus,Sicklefin smoothhound
137,Prionace glauca,Blue shark
138,Rhizoprionodon longurio,Pacific sharpnose shark
139,Mustelus henlei,Brown smoothhound
140,Triakis semifasciata,Leopard shark
145,Odontaspis ferox,Ragged  tooth shark
151,Sphyrna lewini,Scalloped hammerhead
152,Sphyrna tiburo,Bonnethead
153,Sphyrna zygaena,Smooth hammerhead
161,Echinorhinus cookei,Prickly shark
162,Somniosus pacificus,Pacific sleeper shark
163,Squalus acanthias,Spiny dogfish
164,Euprotomicrus bispinatus,Pygmy shark
171,Squatina californica,Pacific angel shark
199,Unidentified Shark,Unidentified Shark
211,Platyrhinoidis triseriata,Thornback
212,Rhinobatos productus,Shovelnose guitarfish
213,Zapteryx exasperata,Banded guitarfish
218,Torpedo californica,Pacific electric ray
220,Unidentified Skate,Unidentified Skate
221,Raja kincaidii,Sandpaper skate
222,Raja binoculata,Big skate
223,Raja inornata,California skate
224,Raja rhina,Longnose skate
225,Raja stellulata,Starry skate
226,Bathyraja spinosissima,White skate
227,Raja abyssicola,Deepsea skate
228,Raja trachura,Black skate
231,Dasyatis dipterura,Diamond stingray
232,Dasyatis violacea,Pelagic stingray
233,Gymnura marmorata,California butterfly ray
234,Urolophus halleri,Round stingray
240,Myliobatis californica,Bat ray
251,Manta hamiltoni,Pacific manta
252,Mobula japanica,Spinetail mobula
253,Mobula lucasana,Smoothtail mobula
300,Hydrolagus colliei,Ratfish
1001,Alosa sapidissima,American shad
1002,Clupea harengus,Pacific herring
1003,Etrumeus teres,Round herring
1004,Harengula thrissina,Flatiron herring
1005,Opisthonema medirastre,Middling thread herring
1006,Sardinops sagax caeruleus,Pacific sardine
1007,Dorosoma petenense,Threadfin shad
1101,Oncorhynchus gorbuscha,Pink salmon
1102,Oncorhynchus keta,Chum salmon
1103,Oncorhynchus kisutch,Silver salmon
1104,Oncorhynchus nerka,Sockeye salmon
1105,Oncorhynchus tshawytscha,King salmon
1106,Salmo clarkii,Cutthroat trout
1107,Salmo gairdnerii,Rainbow trout
1201,Allosmerus elongatus,Whitebait
1203,Hypomesus pretiosus,Surf smelt
1204,Spirinchus thaleichthys,Longfin smelt
1205,Spirinchus starksi,Night smelt
1207,Thaleichthys pacificus,Eulachon
1208,Hypomesus transpacificus,Delta smelt
1225,Antennarius avalonis,Roughjaw
1235,Zalieutes elater,Spotted batfish
1245,Cryptopsaras couesii,Warted seadevil
1255,Allocyttus verrucosus,Oxeye oreo
1265,Zenopsis nebulosa,Mirror dory
1270,Poromitra crassiceps,Crested bigscale
1271,Scopelogadus mizolepis,Twospine bigscale
1275,Lophotus cristatus,Highbrow crestfish
1280,Regalecus glesne,Oarfish
1290,Euleptorhamphus longirostris,Ribbon halfbeak
1291,Hemiramphus saltator,Longfin halfbeak
1292,Hyporhamphus rosae,California halfbeak
1293,Hyporhamphus unifasciatus,Silverstripe halfbeak
1300,Theragra chalcogramma,Walleye pollock
1301,Gadus macrocephalus,Pacific cod
1302,Microgadus proximus,Pacific tomcod
1303,Merluccius productus,Pacific hake
1321,Nezumia stelgidolepis,California rattail
1325,Coryphaenoides acrolepis,Pacific rattail
1350,Anotopterus pharao,Daggertooth
1370,Lestidium ringens,Slender barracudina
1380,Benthalbella dentata,Northern pearleye
1390,Cyclothone acclinidens,Benttooth bristlemouth
1391,Danaphos oculatus,Bigeye lightfish
1401,Diaphus theta,California headlightfish
1402,Protomyctophum crockeri,California flashlightfish
1403,Stenobrachius leucopsarus,Northern lampfish
1404,Tarletonbeania crenularis,Blue laternfish
1405,Symbolophorus californiensis,California laternfish
1406,Triphoturus mexicanus,Mexican lampfish
1407,Lampanyctus ritteri,Broadfin lampfish
1451,Argyropelecus sladeni,Silvery hatchetfish
1452,Sternoptyx spp.,Dollar hatchetfishes
1453,Argyropelecus affinis,Slender hatchetfish
1454,Argyropelecus hemigymnus,Spurred hatchetfish
1455,Argyropelecus lychnus,Silver hatchetfish
1460,Tactostoma macropus,Longfin dragonfish
1461,Bathophilus flemingi,Highfin dragonfish
1470,Macropinna microstoma,Pacific barreleye
1480,Chauliodus macouni,Pacific viperfish
1501,Acipenser medirostris,Green sturgeon
1502,Acipenser transmontanus,White sturgeon
1506,Elops affinis,Machete
1507,Albula vulpes,Bonefish
1511,Anchoa compressa,Deepbody anchovy
1512,Anchoa delicatissima,Slough anchovy
1513,Cetengraulis mysticetus,Anchoveta
1514,Engraulis mordax,Northern anchovy
1515,Anchoviella miarcha,Slim anchovy
1521,Argentina sialis,Pacific argentine
1525,Synodus lucioceps,California lizardfish
1530,Alepisaurus ferox,Longnose lancetfish
1531,Myrophis vafer,Pacific worm eel
1532,Ophichthus zophochir,Yellow snake eel
1533,Ophichthus triserialis,Spotted snake eel
1535,Gymnothorax mordax,California moray
1536,Gnathophis catalinensis,Catalina conger
1540,Cololabis saira,Pacific saury
1545,Strongylura exilis,California needlefish
1551,Cypselurus californicus,California flyingfish
1552,Fodiator acutus,Sharpchin flyingfish
1553,Hirundichthys rondeletii,Blackwing flyingfish
1554,Cypselurus heterurus,Blotchwing flyingfish
1560,Fundulus parvipinnis,California killifish
1565,Gasterosteus aculeatus,Threespine stickleback
1567,Macrorhamphosus gracilis,Slender snipefish
1570,Aulorhynchus flavidus,Tubesnout
1575,Lampris regius,Opah
1581,Syngnathus californiensis,Kelp pipefish
1582,Syngnathus leptorhynchus,Bay pipefish
1583,Syngnathus arctus,Snubnose pipefish
1584,Syngnathus auliscus,Barred pipefish
1588,Hippocampus ingens,Pacific seahorse
1591,Liparis fucensis,Slipskin snailfish
1592,Careproctus melanurus,Blacktail snailfish
1593,Liparis pulchellus,Showy snailfish
1594,Liparis rutteri,Ringtail snailfish
1595,Liparis florae,Tidepool snailfish
1596,Liparis mucosus,Slimy snailfish
1597,Paraliparis deani,Prickly snailfish
1610,Lycodes diapterus,Black eelpout
1611,Aprodon cortezianus,Bigfin eelpout
